[2023-07-25 20:22:57,086] [INFO] Set up nlp object from config
[2023-07-25 20:22:57,099] [INFO] Pipeline: ['tok2vec', 'ner']
[2023-07-25 20:22:57,102] [INFO] Created vocabulary
[2023-07-25 20:22:58,592] [INFO] Added vectors: de_core_news_lg
[2023-07-25 20:22:58,593] [INFO] Finished initializing nlp object
[2023-07-25 20:23:02,404] [INFO] Initialized pipeline components: ['tok2vec', 'ner']
[38;5;4mℹ Saving to output directory: /veld/output/1/m1[0m
[38;5;4mℹ Using CPU[0m
[1m
=========================== Initializing pipeline ===========================[0m
[38;5;2m✔ Initialized pipeline[0m
[1m
============================= Training pipeline =============================[0m
[38;5;4mℹ Pipeline: ['tok2vec', 'ner'][0m
[38;5;4mℹ Initial learn rate: 0.001[0m
E    #       LOSS TOK2VEC  LOSS NER  ENTS_F  ENTS_P  ENTS_R  SCORE 
108   18000       1796.18    349.48   74.51   76.65   72.48    0.75
110   18200       1278.31    317.00   74.98   74.98   74.98    0.75
111   18400       1509.87    332.38   75.59   74.32   76.89    0.76
112   18600       2836.21    359.76   75.37   74.53   76.23    0.75
114   18800       1353.69    307.36   75.31   75.65   74.98    0.75
115   19000       1391.97    300.22   75.80   76.11   75.50    0.76
116   19200       1653.09    359.02   76.14   74.51   77.85    0.76
118   19400       1458.93    303.28   75.58   76.96   74.25    0.76
119   19600       1506.80    292.54   74.93   75.77   74.10    0.75
120   19800       1427.64    315.98   74.85   74.06   75.64    0.75
122   20000       1556.99    297.30   75.05   74.74   75.35    0.75
123   20200       1592.20    280.94   74.46   76.15   72.85    0.74
124   20400       2010.12    319.58   75.04   74.23   75.86    0.75
126   20600       5358.91    375.45   74.91   74.05   75.79    0.75
127   20800       2292.14    298.68   75.15   74.23   76.09    0.75
128   21000       3448.04    294.50   73.80   75.33   72.33    0.74
129   21200       2947.64    403.59   75.50   74.93   76.09    0.76
131   21400       1698.23    294.22   74.68   73.74   75.64    0.75
132   21600       1474.27    276.00   75.14   74.14   76.16    0.75
133   21800       1985.19    277.83   74.87   75.20   74.54    0.75
135   22000       3858.78    283.02   75.54   74.52   76.60    0.76
136   22200       5864.60    300.06   74.70   73.92   75.50    0.75
